lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date
52.208,4.866,15.3,15.1,15.5,1.78,1.77,1.79,3.325,3.1,3.55,5.215,4.68,5.75,76.0,76.0,76.0,2022-11-01
52.209,4.866,15.3,15.1,15.5,2.32,1.94,2.7,4.435,3.39,5.48,7.01,5.14,8.88,76.0,76.0,76.0,2022-11-01
52.207,4.867,15.2,15.0,15.4,1.79,1.61,1.97,3.48,3.02,3.94,5.54,4.73,6.35,75.5,75.0,76.0,2022-11-01
52.208,4.867,15.25,15.0,15.5,1.7900001,1.64,1.95,3.4424999,3.14,3.9,5.4675,4.92,6.3,75.5,75.0,76.0,2022-11-01
52.209,4.867,15.35,15.2,15.5,2.535,2.42,2.65,4.825,4.74,4.91,7.62,7.27,7.97,76.0,76.0,76.0,2022-11-01
52.21,4.867,15.500001,15.4,15.6,2.6475,2.25,3.3,5.04,4.51,5.92,7.955,6.9,9.08,76.0,76.0,76.0,2022-11-01
52.207,4.868,15.150001,14.9,15.4,1.7724999,1.5,2.02,3.42,2.77,4.04,5.4300003,4.3,6.51,75.5,75.0,76.0,2022-11-01
52.211,4.868,15.665,15.6,15.8,2.339,1.14,3.05,4.789,2.08,6.24,7.797501,3.22,10.15,76.0,76.0,76.0,2022-11-01
52.207,4.869,15.15,14.9,15.4,1.925,1.78,2.07,3.705,3.26,4.15,5.885,5.06,6.71,75.5,75.0,76.0,2022-11-01
52.207,4.87,15.2,15.0,15.4,1.785,1.7,1.87,3.425,3.09,3.76,5.42,4.76,6.08,75.5,75.0,76.0,2022-11-01
52.207,4.871,15.15,15.0,15.3,1.96,1.66,2.26,3.765,2.99,4.54,5.975,4.6,7.35,75.5,75.0,76.0,2022-11-01
52.207,4.872,15.3,15.3,15.3,2.25,2.25,2.25,4.51,4.51,4.51,7.28,7.28,7.28,76.0,76.0,76.0,2022-11-01
52.207,4.873,15.15,15.0,15.3,2.03,1.76,2.3,3.865,3.12,4.61,6.1,4.76,7.44,75.5,75.0,76.0,2022-11-01
52.207,4.874,15.15,15.0,15.3,1.74,1.71,1.77,3.315,3.08,3.55,5.23,4.74,5.72,75.5,75.0,76.0,2022-11-01
52.207,4.875,15.15,15.0,15.3,1.925,1.88,1.97,3.675,3.58,3.77,5.805,5.52,6.09,75.5,75.0,76.0,2022-11-01
52.207,4.876,15.133333,15.0,15.2,1.8633333,1.66,1.97,3.6266668,3.02,3.95,5.7833333,4.66,6.38,75.666664,75.0,76.0,2022-11-01
52.207,4.877,15.1,15.0,15.2,1.705,1.51,1.9,3.255,2.75,3.76,5.15,4.25,6.05,75.5,75.0,76.0,2022-11-01
